Stage,Technique Applied,Mean PSNR (dB),Mean SSIM,Delta PSNR Gain
Raw Low-Light,No enhancement (baseline),9.7182,0.2067,0.0
After Gamma,Gamma Correction (gamma=1.8),14.2027,0.6237,4.4845
After CLAHE,"Gamma + CLAHE (clipLimit=2.0, tile=8x8)",18.1584,0.6566,3.9557
After Bilateral,Gamma + CLAHE + Bilateral Filter (d=9),18.6041,0.8116,0.4457
After Color Restore,Gamma + CLAHE + Bilateral + Color Restoration,18.5211,0.8089,-0.083
