Image Name,PSNR,SSIM
1.png,13.5680,0.8543
111.png,11.3313,0.7723
146.png,13.2635,0.8433
179.png,18.5346,0.8809
22.png,12.0307,0.7821
23.png,8.5933,0.5729
493.png,18.2932,0.7308
547.png,18.2283,0.8307
55.png,8.7476,0.5877
665.png,11.8104,0.6500
669.png,13.2528,0.7802
748.png,21.1020,0.8829
778.png,15.5482,0.7019
780.png,22.3196,0.9058
79.png,10.6711,0.7507

Average,14.4863,0.7684
